month,day,attend,day_of_week,opponent,temp,skies,day_night,cap,shirt,fireworks,park
APR,10,56000,Tuesday,Lotte,67,Clear ,Day,NO,NO,NO,NO
APR,11,29729,Wednesday,Lotte,58,Cloudy,Night,NO,NO,NO,NO
APR,12,28328,Thursday,Lotte,57,Cloudy,Night,NO,NO,NO,NO
APR,13,31601,Friday,LG,54,Cloudy,Night,NO,NO,YES,NO
APR,14,46549,Saturday,LG,57,Cloudy,Night,NO,NO,NO,NO
APR,15,38359,Sunday,LG,65,Clear ,Day,NO,NO,NO,NO
APR,23,26376,Monday,Kia,60,Cloudy,Night,NO,NO,NO,NO
APR,24,44014,Tuesday,Kia,63,Cloudy,Night,NO,NO,NO,NO
APR,25,26345,Wednesday,Kia,64,Cloudy,Night,NO,NO,NO,NO
APR,27,44807,Friday,Samsung,66,Clear ,Night,NO,NO,YES,NO
APR,28,54242,Saturday,Samsung,71,Clear ,Night,NO,NO,NO,YES
APR,29,48753,Sunday,Samsung,74,Clear ,Day,NO,YES,NO,NO
MAY,7,43713,Monday,Kiwoom,67,Clear ,Night,NO,NO,NO,NO
MAY,8,32799,Tuesday,Kiwoom,75,Clear ,Night,NO,NO,NO,NO
MAY,9,33993,Wednesday,Kiwoom,71,Clear ,Night,NO,NO,NO,NO
MAY,11,35591,Friday,NC,65,Clear ,Night,NO,NO,YES,NO
MAY,12,33735,Saturday,NC,65,Clear ,Night,NO,NO,NO,NO
MAY,13,49124,Sunday,NC,70,Clear ,Day,NO,NO,NO,NO
MAY,14,24312,Monday,SK,67,Clear ,Night,NO,NO,NO,NO
MAY,15,47077,Tuesday,SK,70,Clear ,Night,NO,NO,NO,YES
MAY,18,40906,Friday,Hanhwa,64,Clear ,Night,NO,NO,YES,NO
MAY,19,39383,Saturday,Hanhwa,67,Clear ,Night,NO,NO,NO,NO
MAY,20,44005,Sunday,Hanhwa,77,Clear ,Night,NO,NO,NO,NO
MAY,25,36283,Friday,KT,59,Cloudy,Night,NO,NO,YES,NO
MAY,26,36561,Saturday,KT,61,Cloudy,Night,NO,NO,NO,NO
MAY,27,33306,Sunday,KT,70,Clear ,Day,NO,NO,NO,NO
MAY,28,38016,Monday,Lotte,73,Clear ,Night,NO,NO,NO,NO
MAY,29,51137,Tuesday,Lotte,74,Clear ,Night,NO,NO,NO,YES
MAY,30,25509,Wednesday,Lotte,69,Clear ,Night,NO,NO,NO,NO
MAY,31,26773,Thursday,Lotte,70,Clear ,Night,NO,NO,NO,NO
JUN,11,50559,Monday,LG,68,Clear ,Night,NO,YES,NO,NO
JUN,12,55279,Tuesday,LG,66,Cloudy,Night,NO,NO,NO,YES
JUN,13,43494,Wednesday,LG,67,Clear ,Night,NO,NO,NO,NO
JUN,15,40432,Friday,Kia,67,Clear ,Night,NO,NO,YES,NO
JUN,16,45210,Saturday,Kia,68,Clear ,Night,NO,NO,NO,NO
JUN,17,53504,Sunday,Kia,74,Clear ,Day,NO,NO,NO,NO
JUN,28,49006,Thursday,Samsung,75,Clear ,Night,NO,NO,NO,YES
JUN,29,49763,Friday,Samsung,72,Clear ,Night,NO,NO,YES,NO
JUN,30,44217,Saturday,Samsung,78,Clear ,Day,NO,NO,NO,NO
JUL,1,55359,Sunday,Samsung,75,Clear ,Night,NO,NO,NO,YES
JUL,2,34493,Monday,Kiwoom,70,Clear ,Night,NO,NO,NO,NO
JUL,3,33884,Tuesday,Kiwoom,70,Cloudy,Night,YES,NO,NO,NO
JUL,4,53570,Wednesday,Kiwoom,70,Clear ,Night,NO,NO,NO,NO
JUL,13,43873,Friday,LG,76,Cloudy,Night,NO,NO,YES,NO
JUL,14,54014,Saturday,LG,75,Clear ,Night,NO,NO,NO,YES
JUL,15,39715,Sunday,LG,77,Clear ,Day,NO,NO,NO,NO
JUL,16,32238,Monday,Hanhwa,67,Clear ,Night,NO,NO,NO,NO
JUL,17,53498,Tuesday,Hanhwa,70,Clear ,Night,NO,NO,NO,NO
JUL,18,39955,Wednesday,Hanhwa,80,Cloudy,Day,NO,NO,NO,NO
JUL,30,33180,Monday,SK,73,Clear ,Night,NO,NO,NO,NO
JUL,31,52832,Tuesday,SK,75,Cloudy,Night,NO,NO,NO,YES
AUG,1,36596,Wednesday,SK,79,Clear ,Day,NO,NO,NO,NO
AUG,3,43537,Friday,Lotte,73,Clear ,Night,NO,NO,YES,NO
AUG,4,46588,Saturday,Lotte,73,Cloudy,Night,NO,NO,NO,NO
AUG,5,42495,Sunday,Lotte,83,Clear ,Day,YES,NO,NO,NO
AUG,6,32659,Monday,NC,79,Clear ,Night,NO,NO,NO,NO
AUG,7,55024,Tuesday,NC,80,Clear ,Night,NO,NO,NO,YES
AUG,8,37084,Wednesday,NC,84,Clear ,Night,NO,NO,NO,NO
AUG,20,36878,Monday,Kiwoom,80,Clear ,Night,NO,NO,NO,NO
AUG,21,56000,Tuesday,Kiwoom,75,Clear ,Night,NO,NO,NO,YES
AUG,22,40173,Wednesday,Kiwoom,75,Clear ,Night,NO,NO,NO,NO
AUG,24,39805,Friday,Samsung,71,Clear ,Night,NO,NO,YES,NO
AUG,25,40284,Saturday,Samsung,70,Clear ,Night,NO,NO,NO,NO
AUG,26,41907,Sunday,Samsung,81,Clear ,Day,NO,NO,NO,NO
AUG,30,54621,Thursday,SK,80,Clear ,Night,NO,NO,NO,YES
AUG,31,37622,Friday,SK,77,Clear ,Night,NO,NO,YES,NO
SEP,1,35992,Saturday,SK,81,Clear ,Night,NO,NO,NO,NO
SEP,2,31607,Sunday,SK,89,Clear ,Day,NO,NO,NO,NO
SEP,3,33540,Monday,LG,84,Cloudy,Night,NO,NO,NO,NO
SEP,4,40619,Tuesday,LG,78,Clear ,Night,NO,YES,NO,NO
SEP,5,50560,Wednesday,LG,77,Cloudy,Night,NO,NO,NO,NO
SEP,13,43309,Thursday,Hanhwa,80,Clear ,Night,NO,NO,NO,NO
SEP,14,40167,Friday,Hanhwa,85,Clear ,Night,NO,NO,YES,NO
SEP,15,42449,Saturday,Hanhwa,95,Clear ,Night,NO,NO,NO,NO
SEP,16,35754,Sunday,Hanhwa,86,Clear ,Day,NO,NO,NO,NO
SEP,28,37133,Friday,NC,77,Clear ,Night,NO,NO,YES,NO
SEP,29,40724,Saturday,NC,84,Cloudy,Night,NO,NO,NO,NO
SEP,30,35607,Sunday,NC,95,Clear ,Day,NO,NO,NO,NO
OCT,1,33624,Monday,Kiwoom,86,Clear ,Night,NO,NO,NO,NO
OCT,2,42473,Tuesday,Kiwoom,83,Clear ,Night,NO,NO,NO,NO
OCT,3,34014,Wednesday,Kiwoom,82,Cloudy,Night,NO,NO,NO,NO
